canny_threshold1,canny_threshold2,min_line_length,max_line_gap,hough_threshold,false_positives,true_positives,precision,recall,f1_score
226,211,385,11,50,6,91,0.9381443298969072,0.9191919191919192,0.9285714285714285
223,220,370,11,50,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
221,225,360,10,50,9,91,0.91,0.9191919191919192,0.9145728643216081
219,230,353,10,50,10,91,0.900990099009901,0.9191919191919192,0.91
219,230,355,10,50,9,91,0.91,0.9191919191919192,0.9145728643216081
216,235,354,10,50,8,92,0.92,0.9292929292929293,0.9246231155778895
209,252,347,10,50,12,88,0.88,0.8888888888888888,0.8844221105527638
233,201,349,10,50,14,92,0.8679245283018868,0.9292929292929293,0.8975609756097561
229,226,377,10,50,7,86,0.9247311827956989,0.8686868686868687,0.8958333333333334
221,210,363,11,50,15,93,0.8611111111111112,0.9393939393939394,0.8985507246376813
226,226,381,11,50,8,89,0.9175257731958762,0.898989898989899,0.9081632653061225
225,225,380,11,50,9,85,0.9042553191489362,0.8585858585858586,0.8808290155440415
220,200,371,10,50,9,91,0.91,0.9191919191919192,0.9145728643216081
217,200,370,10,50,8,91,0.9191919191919192,0.9191919191919192,0.9191919191919192
214,198,368,10,50,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
211,196,366,9,50,9,91,0.91,0.9191919191919192,0.9145728643216081
210,194,365,9,50,10,89,0.898989898989899,0.898989898989899,0.898989898989899
230,190,358,9,50,10,92,0.9019607843137255,0.9292929292929293,0.9154228855721392
233,188,355,9,50,11,93,0.8942307692307693,0.9393939393939394,0.9162561576354681
236,187,352,9,50,9,92,0.9108910891089109,0.9292929292929293,0.9199999999999999
239,187,346,8,50,8,92,0.92,0.9292929292929293,0.9246231155778895
244,190,333,7,50,10,88,0.8979591836734694,0.8888888888888888,0.8934010152284263
233,178,347,9,50,13,91,0.875,0.9191919191919192,0.896551724137931
235,198,372,9,50,7,86,0.9247311827956989,0.8686868686868687,0.8958333333333334
228,188,353,9,50,12,91,0.883495145631068,0.9191919191919192,0.9009900990099011
218,204,374,9,50,6,89,0.9368421052631579,0.898989898989899,0.9175257731958762
215,206,375,9,50,5,87,0.9456521739130435,0.8787878787878788,0.9109947643979057
215,205,375,9,50,6,85,0.9340659340659341,0.8585858585858586,0.8947368421052632
240,193,363,9,50,12,91,0.883495145631068,0.9191919191919192,0.9009900990099011
225,192,354,10,50,16,91,0.8504672897196262,0.9191919191919192,0.883495145631068
234,209,378,9,50,7,89,0.9270833333333334,0.898989898989899,0.9128205128205129
234,210,378,9,50,7,84,0.9230769230769231,0.8484848484848485,0.8842105263157896
